序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-去年同期,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-去年同期,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,所处行业,公告日期
331,688170,德龙激光,0.24,786999500.0,715191600.0,10.04037239811,101.95380606876,25192800.0,-34501100.0,173.020280512795,3153.0854752247,12.16,2.02,自动化设备,2026-02-28
336,688162,巨一科技,0.59,4335490800.0,3523285800.0,23.052486971111,28.794351803485,80922500.0,21318000.0,279.597054132658,134.8551763883,17.79,3.35,专用设备,2026-02-28
338,688160,步科股份,0.84,723654800.0,547468500.0,32.181997685712,8.750204767149,72907800.0,48891600.0,49.121321453992,54.0795740646,14.27,7.34,自动化设备,2026-02-28
340,688158,优刻得,-0.17,1699946100.0,1502972000.0,13.10564002523,8.417186083755,-76683200.0,-241042000.0,68.186789024319,278.5084079705,5.29,-3.19,IT服务Ⅱ,2026-02-28
342,688155,先惠技术,2.79,2994189500.0,2463960500.0,21.519379064721,59.244749088123,351810100.0,223022900.0,57.746177634673,175.6245985703,18.23,16.49,电池,2026-02-28
343,688153,唯捷创芯,0.1,2320962300.0,2103040200.0,10.362241292392,32.961138719781,44949300.0,-23725100.0,289.458843166098,101.6048069976,9.35,1.13,半导体,2026-02-28
351,688136,科兴制药,0.81,1541156400.0,1406925400.0,9.540733289768,-11.999148145195,159441200.0,31480900.0,406.469637145063,55.823125636,8.72,9.47,生物制品,2026-02-28
357,688129,东来技术,0.9,663140500.0,597532700.0,10.97978403525,19.643591329933,100436300.0,84745300.0,18.515481094527,31.0066687337,8.82,11.17,化学制品,2026-02-28
360,688122,西部超导,1.2937,5237262800.0,4612471600.0,13.545692075372,-1.399503569885,840460100.0,800789100.0,4.953988509584,84.3401738741,10.97,12.17,航空装备Ⅱ,2026-02-28
362,688120,华海清科,3.08,4648227700.0,3406228600.0,36.4625879778,16.896652518112,1085527400.0,1023407900.0,6.069867156585,2.8349543007,21.15,15.55,半导体,2026-02-28
363,688117,圣诺生物,1.05,741343445.99,456070000.1,62.550364160644,21.188454359996,165823888.08,50023708.92,231.49059048219,1.9978312514,6.77,16.71,生物制品,2026-02-28
